"topic_model_prompt_ids","topic_model","prompt_id","datasets","example_text_in_prompt","report"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Is there any direct flights from Houston to New York City on a Friday night with Delta Air Lines? If so what are the departure times?"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Find cheap airlines for round trip next week; departing Boston MA in late September, heading towards Miami FL via JetBlue and returning home by Sunday evening."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","I want an affordable flight from Seattle WA to Denver CO on a Friday night with United Airlines. What is my best option? Any layovers?"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Looking for the cheapest flights next week; departing San Francisco CA in late September, heading towards Las Vegas NV via Southwest Air Lines and returning home by Sunday evening."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","I need help finding an affordable"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","find flight chicago to new york friday night book a seat on the late evening Chicago-Miami direct route this Friday, enjoy your travel with us! need assistance for an Atlanta-Dallas morning trip next Monday? looking into flights from Boston early Tuesday afternoon; prefer Delta Airlines. is there any way I can get my ticket booked between Seattle and San Francisco by Wednesday PM?"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","arrange a flight departing Miami on Thursday evening to Orlando. Are direct or connecting options available? consider flying out of Denver for an overnight stay in Las Vegas this Friday night, is it possible? find me the best prices from New York City back home via Chicago with Delta Airlines. booking tickets now: Boston-Miami round trip next Saturday morning."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","search flights to San Francisco departing Los Angeles on Sunday evening; looking at American or Southwest airlines. is there a direct flight available for Seattle-Tampa this coming Friday night? looking into the cost of traveling from Denver directly back home via Chicago, prefer Delta. find me an affordable route connecting New York City and Miami next Tuesday."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","book flights between Boston to San Francisco on Thursday afternoon; considering United or JetBlue. arrange a round trip flight departing Orlando early Monday morning for Los Angeles with Alaska Airlines? need help finding the best deals from Washington D.C., heading home via Atlanta this Friday night. looking into evening Chicago-Miami options, interested in Southwest flights."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","can you book me on an afternoon Dallas to Houston direct route next Wednesday? find a flight leaving San Diego early Tuesday morning for Los Angeles with Alaska Airlines? considering Boston-New York round trip by JetBlue; prefer traveling Thursday or Friday."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","find the best prices from Denver directly back home via Chicago, Delta preferred. book flights departing New Orleans on Sunday evening to Miami next Monday."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","looking into direct flight options between San Francisco and Las Vegas this coming Saturday night with Alaska Airlines? need assistance for an afternoon Boston-Dallas round trip; prefer JetBlue or American airlines. find me a late-night route from Washington D.C., leaving early Tuesday morning, heading back home via Atlanta. book the best possible Miami to Orlando flights departing Friday evening."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","arrange Dallas-Miami direct flight on Thursday night with Delta Airlines for you? considering Denver-San Francisco round trip by Southwest; prefer traveling in midweek. find me a convenient route from Boston-New York City connecting through Chicago, preferably American or United airlines. looking into afternoon Miami to Orlando flights departing next Wednesday."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","find flight friday june eleventh st petersburg milwaukee"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","schedule direct flights from chicago to new york city on saturday morning, please."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","inquiry about round trip tickets for boston and san francisco next wednesday evening?"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","is there a good airline that flies between atlanta jfk early sunday afternoon? I prefer economy class with extra legroom."" ""book flight friday june eleventh from milwaukee to st petersburg. Need morning flights."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","suggest airlines flying daily Chicago-Miami, interested in direct or connecting routes and prices for april 15th departure?"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","I need a cheap fare on the chicago-dallas route next monday evening; prefer nonstop with window seat."" ""find flight friday june eleventh from milwaukee to st petersburg. Prefer early morning flights."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","suggest airlines flying saturday night Dallas-Boston, interested in direct or connecting routes and prices for april 22nd departure?"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","I am looking into the best deals on a round trip between san francisco santa cruz october evening."" ""find flight friday june eleventh from milwaukee to st petersburg. Need afternoon flights."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","suggest airlines flying saturday night chicago-philadelphia, interested in direct or connecting routes and prices for april 29th departure?"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","I'm considering booking the boston-miami route next tuesday morning; looking at different carriers."" ""find flight friday june eleventh from milwaukee to st petersburg. Need evening flights."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","suggest airlines flying saturday night chicago-philadelphia, interested in direct or connecting routes and prices for april 5th departure?"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","I am considering a trip between atlanta new york on sunday afternoon; looking at different carriers."" ""find flight friday june eleventh from milwaukee to st petersburg. Prefer late morning flights."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","suggest airlines flying saturday night chicago-philadelphia, interested in direct or connecting routes and prices for april 12th departure?"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","I am considering booking the boston-miami route next tuesday afternoon; looking at different carriers."" ""find flight friday june eleventh from milwaukee to st petersburg. Need flights after noon."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","suggest airlines flying saturday night chicago-philadelphia, interested in direct or connecting routes and prices for april 19th departure?"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","I am considering booking the boston-miami route next tuesday morning; looking at different carriers."" ""find flight friday june eleventh from milwaukee to st petersburg. Need flights before noon."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Flight Friday June 11th St. Petersburg to Milwaukee, then from there Minneapolis"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Book flight Chicago morning Dallas via Houston on Delta Airlines for $200 round trip."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Early bird special: Fly Denver and Boston together in the afternoon with Southwest starting at noon!"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Catch a connecting evening train between Pittsburgh early Saturday leaving New York City; arriving Philadelphia Thursday night. Flight options to Seattle available if needed later that day or Friday morning from Washington, DC via direct flight services by United Airlines."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Consider flying Atlanta on American Express Airways for $150 one-way ticket next Wednesday with layover in Orlando before reaching Miami Beach at 3 PM tomorrow evening departure time."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Looking forward a round trip between Las Vegas and Los Angeles starting early Saturday; prefer Southwest flights to avoid long waits. Stop over Nashville if necessary."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Direct flight from Dallas-Fort Worth International Airport departing Friday morning, arriving San Francisco by afternoon for $350 each way on JetBlue Airlines with preferred seating options available."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Morning direct Chicago departure at 7 AM flying out of O'Hare and connecting in Denver before heading to Boston; expect arrival around noon. Flight times may vary due travel schedules."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Explore a round trip from Orlando International Airport departing Friday morning, arriving New York City via Miami on Spirit Airlines for $220 each way."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Flight options between San Francisco Bay Area airport (SFO) direct flights available in the afternoon today to Los Angeles; consider using Alaska Air or Delta airlines. Layover possibilities at Las Vegas if desired."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Explore round trip flight from Dallas-Fort Worth International Airport departing Friday morning, arriving Seattle via United Airlines with a lay-over option through Denver."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Consider flying early Saturday directly out of Washington Dulles airport for an afternoon arrival in Los Angeles; preferred carriers include Delta or American airlines. Flight times may vary due to weather conditions."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Morning flight from Boston Logan international on JetBlue departing Friday morning, arriving San Francisco by late evening with a layover at Denver."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Direct flights available between Dallas-Fort Worth International Airport and Las Vegas for $300 each way; consider using United Airlines or American airlines. Flight times may vary due to weather conditions."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Early flight options from New York JFK airport direct afternoon departures on Delta, arriving Los Angeles by evening with a layover in Phoenix if desired."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Explore round trip flights between Dallas-Fort Worth International Airport and Orlando departing Friday morning; preferred carriers include Southwest or American Airlines. Flight times may vary due to weather conditions."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Morning flight options from Chicago O'H"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","find flight friday june eleventh st petersburg milwaukee tacoma thank"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","schedule a round trip for chicago to new york city saturday morning with layovers in atlanta and detroit, please confirm availability."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","dallas direct flights available sunday afternoon; need booking confirmation by tomorrow noon or risk losing seat on delta flight 789. Cost estimate: $350 per person including taxes."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","arrive early friday for the washington dc to miami evening train ride from chicago at around midnight with an expected arrival in mid-morning, prefer amtrak's atlantic coast service."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","saturday morning flights available direct or via houston; looking specifically into airlines offering premium class between boston and san francisco."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","charlotte flight options for saturday afternoon to seattle: delta vs united - which has better legroom? book by friday evening, cost around $220 each way with baggage."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","saturday morning flights from pittsburgh direct or via chicago; prefer airlines like american airways over jetblue. Need confirmation of availability and fare details."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","afternoon flight saturday to san francisco: looking for a nonstop option on delta - best deals starting at around $180 per person, including taxes."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","saturday morning flights from boston direct or via new york; prefer airlines with good in-flight service like united airways. Need booking confirmation by tomorrow noon."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","booking friday flight saturday to san francisco: looking for a nonstop option on delta - best deals starting at around $180 per person, including taxes."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","saturday morning flights from chicago direct or via detroit; prefer airlines with good in-flight service like united airways. Need booking confirmation by tomorrow noon."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","charlotte flight options saturday to atlanta: looking for a nonstop option on delta - best deals starting at around $180 per person, including taxes."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","saturday morning flights from pittsburgh direct or via chicago; prefer airlines with good in-flight service like united airways. Need booking confirmation by tomorrow noon."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","charlotte flight options saturday to new york: looking for a nonstop option on delta - best deals starting at around $180 per person, including taxes."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","saturday morning flights from boston direct or via washington dc; prefer airlines with good in-flight service like united airways. Need booking confirmation by tomorrow noon."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","charlotte flight options saturday to chicago: looking for a nonstop option on delta - best deals starting at around"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Flight from San Francisco to Los Angeles, LA trip"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Book flight Seattle-Tampa-Miami on Friday morning; prefer Delta Airlines."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Looking for a Chicago-Dallas roundtrip in the evening. Considering Southwest or American airlines?"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Need affordable flights between Denver and Salt Lake City next Wednesday with an early departure time. Search results: Flight from New York to Miami, NY arriving Thursday afternoon via JetBlue - similar experience like Alaska Air's flight on Friday."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Interested airline for Boston-Newark-Miami roundtrip; looking at Frontier or Spirit Airlines options."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Flight Pittsburgh-Phoenix-Tampa preferred with a Delta connection in Atlanta. Search results: Flight from Chicago to Denver, CO next Tuesday morning via United - similar experience like Southwest flights last week on Friday."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Morning flight San Francisco-Los Angeles this Sunday available through Alaska Air; prefer direct or connecting options."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Looking for the best airline deals between Dallas and Houston with a preference towards JetBlue. Search results: Flight from Los Vegas to Las Cruces, NM arriving Monday via Allegiant - similar experience like Frontier Airlines on Friday."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Flight Atlanta-Boston-Miami roundtrip needed next week; prefer Delta or American airlines."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Book flight Boston-New York-Tampa for the weekend with a focus towards JetBlue. Search results: Flight from Seattle to San Francisco, WA arriving Thursday evening via Alaska - similar experience like United flights last Friday."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Flight Minneapolis-St Louis-Miami preferred on Wednesday afternoon through Frontier Airlines; prefer direct or connecting options."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Looking forward flight New York-Newark-Atlanta with a preference towards JetBlue. Search results: Flight from Orlando to Miami, FL arriving Sunday evening via Southwest - similar experience like Delta flights last week."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Flight Denver-Austin-Tampa-Miami preferred on Friday afternoon through American Airlines; prefer direct or connecting options."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Book flight San Francisco-Los Angeles roundtrip for the upcoming holiday season with a preference towards Alaska Air. Search results: Flight from Chicago to Las Vegas, NV arriving Saturday morning via Delta - similar experience like United flights last week."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Flight New York-Nashville-Atlanta-Miami preferred on Friday evening through American Airlines; prefer direct or connecting options."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Looking for the best airline deals between Seattle and San Francisco with a preference towards Alaska Air. Search results: Flight from Chicago to Denver, CO arriving Wednesday afternoon via Frontier - similar experience like Allegiant flights last week."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Looking for a flight Friday June 11th from St. Petersburg to Milwaukee, then onto Tacoma"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Book direct Chicago-Milwaukee morning flights with airlines like Delta or United Express."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","I need the fare and schedule of Boston-Dallas-Austin round trips on American Airlines this week."" ""The best way out: Flight Atlanta-Boston-Early Morning Tuesday; return from Philadelphia-DC late Friday, Thursday list"" ""Cheap flight options between Pittsburgh-Phoenix for next Wednesday with Southwest or Frontier airlines."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Mia flew Miami-Northwest to Dallas-LA and enjoyed the service on Delta Airlines. Similar experience flying Oakland-San Francisco?"" ""The best route: Flight Vegas-Miami-City round trip in one day, departing Long Beach early."" ""Friday flight from Fort Washington worth taking with TWA or American for a Chicago-Boston morning departure."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","I prefer flights like Seattle-Tampa-Austin-LA. Round trips on Southwest Airlines next Friday?"" ""No better way: Flight Atlanta-New York-Northwest-Miami in one day, leaving Miami early."" ""Flight options from Houston to Las Vegas and back via Los Angeles or San Francisco with Delta airlines cost comparison."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","I want a flight schedule for Dallas-Boston round trip by JetBlue on Thursday morning; arrive NYC evening."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","find flight friday june eleventh st petersburg milwaukee tacoma thank you"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","book a ticket for Friday, June 11th from St. Petersburg to Milwaukee and then Tacoma next day please confirm availability."" ""looking forward departure on the same date; want flights going towards Milwakee after arriving in Tampa this afternoon also looking into options connecting via Charlotte or Dallas if possible thanks!"" ""need assistance with flight scheduling: departing Miami early Friday, aiming for a midweek arrival somewhere between St. Petersburg and Milwaukee can you help?"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","considering an evening departure from Boston on June 11th; interested to fly directly towards Tacoma but open other suggestions too"" ""planning my trip this week - need morning flights out of Chicago heading toward Tampa with possible connections in Dallas or Nashville, any assistance appreciated!"" ""Friday's travel plans: leaving St. Louis early and looking for a direct flight route that will take me straight through Minneapolis then to Seattle before landing back home."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","interested if there's an available return trip on Friday from San Francisco via Denver heading towards Chicago with possible layovers in Kansas City or Omaha"" ""searching flights departing Dallas this afternoon, aiming toward Tampa by evening; prefer nonstop but open for reasonable connections as well thanks!"" ""looking to fly out of New York midweek and arrive somewhere between St. Petersburg & Milwaukee around the same time - any suggestions?"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","need help finding a flight from Los Angeles on Friday heading towards San Francisco with possible layovers in Las Vegas or Reno"" ""Friday's travel plans: want an early morning departure, aiming for Tampa by evening; prefer nonstop flights but willing to consider connecting options through Dallas if needed thanks!"" ""Saturday trip planning - looking at leaving Chicago and flying directly toward Tacoma this afternoon. Any direct flight suggestions?"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","exploring potential Friday departures from Houston with a stop in Denver en route Seattle or San Francisco"" ""planning my travel for June 11th; interested flights departing New York City heading towards Tampa, prefer nonstop but willing to consider connections through Dallas if necessary thanks!"" ""Friday morning departure out of Washington D.C., looking forward arriving somewhere between St. Petersburg and Milwaukee by evening - any direct flight suggestions?"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","thinking about a Friday trip from Denver with an aim for Tacoma in the afternoon; interested also exploring connecting flights via Salt Lake City or Omaha"" ""Saturday travel plans: departing San Francisco early, aiming to arrive back home around Tampa this weekend – can you suggest some good nonstop routes as well?"
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Find flight Friday June 11th from St. Petersburg to Milwaukee, then continue on a connecting route in Chicago and Minneapolis."
"0-LDA","LDA","0","atis","like find flight friday june eleventh st petersburg milwaukee milwaukee tacoma thank","Looking for an early morning departure today; consider flying out of Dallas or Houston with Delta Airlines towards New York City by noon tomorrow afternoon."
